Probando para N = 2^10
create time SS = 78063 ms

create time CP = 1 ms

Results
query = (0.190612,0.879086), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 15	|	cp_search: 2 ss_search: 2
query = (0.497166,0.749804), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 3 ss_search: 3
query = (0.184819,0.954522), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 3 ss_search: 3
query = (0.228008,0.101), 0.02				|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 3 ss_search: 3
query = (0.729792,0.20695), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 4 ss_search: 4
query = (0.672672,0.51497), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 2 ss_search: 2
query = (0.215791,0.0221669), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 1 ss_search: 1
query = (0.913581,0.567345), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 4 ss_search: 4
query = (0.329538,0.330897), 0.02			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 2 ss_search: 2
query = (0.876027,0.589082), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 2 ss_search: 2
query = (0.658803,0.857447), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 19	|	cp_search: 3 ss_search: 3
query = (0.325871,0.37487), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 2 ss_search: 2
query = (0.703047,0.907989), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 4 ss_search: 4
query = (0.0620808,0.206397), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 1 ss_search: 1
query = (0.397743,0.591189), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 23	|	cp_search: 0 ss_search: 0
query = (0.84619,0.64338), 0.02				|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 4 ss_search: 4
query = (0.447236,0.138136), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 4 ss_search: 4
query = (0.0873358,0.112825), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.221357,0.603875), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 1 ss_search: 1
query = (0.452051,0.695364), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 1 ss_search: 1
query = (0.646951,0.485866), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 21	|	cp_search: 5 ss_search: 5
query = (0.4617,0.23505), 0.02				|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 3 ss_search: 3
query = (0.235445,0.837199), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 17	|	cp_search: 2 ss_search: 2
query = (0.121907,0.283177), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 15	|	cp_search: 4 ss_search: 4
query = (0.14169,0.219044), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 1 ss_search: 1
query = (0.591158,0.924698), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 2 ss_search: 2
query = (0.233526,0.599652), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 20	|	cp_search: 3 ss_search: 3
query = (0.104094,0.293741), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 15	|	cp_search: 9 ss_search: 9
query = (0.879766,0.957669), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 1 ss_search: 1
query = (0.947355,0.436817), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 18	|	cp_search: 0 ss_search: 0
query = (0.53793,0.974302), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 16	|	cp_search: 5 ss_search: 5
