Probando para N = 2^10
create time CP = 4 ms

create time SS = 46383 ms

Results
query = (0.0226463,0.281653), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18
query = (0.00195337,0.372693), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 18
query = (0.105079,0.450018), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 19
query = (0.571871,0.463467), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.133698,0.0771939), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 17
query = (0.0872403,0.104397), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 17
query = (0.442382,0.817243), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 20
query = (0.7202,0.725519), 0.2				|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 16
query = (0.326971,0.939036), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 19
query = (0.327879,0.0991409), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.452539,0.433105), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.815223,0.172715), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 16
query = (0.402148,0.4949), 0.2				|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 21
query = (0.613554,0.678907), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 19
query = (0.0808489,0.669685), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 20
query = (0.632163,0.41503), 0.2				|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 20
query = (0.860723,0.54396), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 17
query = (0.795718,0.680308), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 16
query = (0.958804,0.961225), 0.2			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 15
query = (0.978632,0.820929), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 16
query = (0.909421,0.695604), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.349122,0.784473), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 21
query = (0.71357,0.208342), 0.2				|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 17
query = (0.348789,0.195897), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 18
query = (0.470039,0.278611), 0.2			|	time ss = 0 ms	|	counter ss = 13	|	time cp = 0 ms		|	counter cp = 20
query = (0.634154,0.150872), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 17
query = (0.042762,0.386958), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.570189,0.918046), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 17
query = (0.490787,0.530368), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 21
query = (0.629231,0.574779), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 20
query = (0.906687,0.62523), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.44838,0.699684), 0.2				|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 20
query = (0.541358,0.687325), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 20
query = (0.463968,0.537753), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 21
query = (0.534414,0.251522), 0.2			|	time ss = 0 ms	|	counter ss = 11	|	time cp = 0 ms		|	counter cp = 20
query = (0.794375,0.103555), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 15
query = (0.489496,0.807959), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 18
query = (0.0329915,0.562768), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 19
query = (0.922739,0.728037), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 16
query = (0.480056,0.189896), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 18

Probando para N = 2^12
create time CP = 22 ms

create time SS = 397756 ms

Results
query = (0.228136,0.120596), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 1 ms		|	counter cp = 37
query = (0.53638,0.0226014), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 38
query = (0.514967,0.570368), 0.2			|	time ss = 0 ms	|	counter ss = 16	|	time cp = 0 ms		|	counter cp = 44
query = (0.193485,0.594476), 0.2			|	time ss = 0 ms	|	counter ss = 14	|	time cp = 0 ms		|	counter cp = 39
query = (0.317034,0.372812), 0.2			|	time ss = 0 ms	|	counter ss = 19	|	time cp = 0 ms		|	counter cp = 42
query = (0.983378,0.724099), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 34
query = (0.543733,0.0870866), 0.2			|	time ss = 0 ms	|	counter ss = 14	|	time cp = 0 ms		|	counter cp = 39
query = (0.263344,0.188724), 0.2			|	time ss = 0 ms	|	counter ss = 14	|	time cp = 0 ms		|	counter cp = 37
query = (0.466833,0.00472809), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 37
query = (0.982907,0.619954), 0.2			|	time ss = 0 ms	|	counter ss = 9	|	time cp = 0 ms		|	counter cp = 37
query = (0.75497,0.727651), 0.2				|	time ss = 0 ms	|	counter ss = 16	|	time cp = 0 ms		|	counter cp = 41
query = (0.839767,0.0212285), 0.2			|	time ss = 0 ms	|	counter ss = 8	|	time cp = 0 ms		|	counter cp = 33
query = (0.963283,0.594787), 0.2			|	time ss = 0 ms	|	counter ss = 10	|	time cp = 0 ms		|	counter cp = 37
query = (0.6664,0.744788), 0.2				|	time ss = 0 ms	|	counter ss = 15	|	time cp = 0 ms		|	counter cp = 42
query = (0.0663913,0.571744), 0.2			|	time ss = 0 ms	|	counter ss = 12	|	time cp = 0 ms		|	counter cp = 36
query = (0.119173,0.347047), 0.2			|	time ss = 0 ms	|	counter ss = 13	|	time cp = 0 ms		|	counter cp = 38
query = (0.549816,0.531492), 0.2			|	time ss = 0 ms	|	counter ss = 18	|	time cp = 0 ms		|	counter cp = 44
query = (0.441635,0.541436), 0.2			|	time ss = 0 ms	|	counter ss = 17	|	time cp = 0 ms		|	counter cp = 44
